Year,Code,Region,Domestic_meters_thouasands,Non_domestic_meters_thousands,All_meters_thousands,Domestic_consumption_GWh,Non_domestic_consumption_GWh,All_consumption_GWh,Domestic_mean_consumption_KWh_per_meter,Non_domestic_mean_consumption_KWh_per_meter,All_mean_consumption_kWh_per_meter,Domestic_median_consumption_kWh_per_meter,Non_domestic_median_consumption_kWh_per_meter,All_median_consumption_kWh_per_meter
2005,K03000001,Great Britain,21594.972,398.187,21993.159,410737.0029,256850.3655,667587.3684,19020.02943,645049.601,30354.31919,,,
2005,E92000001,England,18781.875,347.502,19129.377,355378.62,216506.3204,571884.9403,18921.36009,623036.185,29895.63854,,,
2005,E12000001,North East,1037.403,16.219,1053.622,20710.65816,13952.1582,34662.81636,19963.94666,860235.4153,32898.72113,,,
2005,E12000002,North West,2747.967,48.871,2796.838,53390.87395,35926.28779,89317.16175,19429.22675,735124.8755,31935.05013,,,
2005,E12000003,Yorkshire and The Humber,1989.97,36.997,2026.967,39024.14324,30648.96599,69673.10923,19610.41786,828417.6012,34373.08512,,,
2005,E12000004,East Midlands,1620.786,28.502,1649.288,31469.0213,18936.39939,50405.4207,19415.90148,664388.4426,30561.92775,,,
2005,E12000005,West Midlands,1984.918,36.397,2021.315,37726.18951,22962.79222,60688.98173,19006.42219,630897.9371,30024.5047,,,
2005,E12000006,East,1892.684,33.267,1925.951,35684.43809,20943.31335,56627.75145,18853.88057,629552.2095,29402.48815,,,
2005,E12000007,London,2901.378,60.802,2962.18,52635.32822,27213.85181,79849.18003,18141.49284,447581.5239,26956.22144,,,
2005,E12000008,South East,2964.021,58.644,3022.665,56299.96596,29675.24355,85975.20951,18994.45583,506023.5241,28443.51243,,,
2005,E12000009,South West,1642.748,27.803,1670.551,28438.00153,16247.30805,44685.30957,17311.23795,584372.4794,26748.84488,,,
2005,W92000004,Wales,1041.742,16.083,1057.825,19888.66804,14422.03499,34310.70303,19091.7406,896725.4239,32435.141,,,
2005,S92000003,Scotland,1762.762,34.339,1797.101,35329.22149,25613.53925,60942.76074,20041.96907,745902.305,33911.70598,,,
2005,Unallocated,Unallocated,8.593,0.263,8.856,140.493439,308.470877,448.964316,16349.75433,1172893.068,50696.06098,,,
2006,K03000001,Great Britain,21884.182,378.933,22263.115,399178.6111,229554.7989,628733.4099,18240.50865,605792.5777,28241.035,,,
2006,E92000001,England,19039.371,330.897,19370.268,345227.4482,192266.5148,537493.963,18132.29272,581046.4128,27748.40095,,,
2006,E12000001,North East,1051.044,15.71,1066.754,20018.1322,12316.6753,32334.8075,19045.95069,784002.2469,30311.40028,,,
2006,E12000002,North West,2763.985,46.55,2810.535,51566.90036,30641.61347,82208.51383,18656.72222,658251.632,29250.1299,,,
2006,E12000003,Yorkshire and The Humber,2021.327,35.09,2056.417,37953.89899,26897.67272,64851.57172,18776.7239,766533.8479,31536.19704,,,
2006,E12000004,East Midlands,1648.55,26.946,1675.496,30484.21008,17491.82607,47976.03616,18491.52897,649143.6975,28633.93058,,,
2006,E12000005,West Midlands,2013.379,34.045,2047.424,36676.15832,21172.19312,57848.35144,18216.22175,621888.4747,28254.21185,,,
2006,E12000006,East,1923.171,31.841,1955.012,34679.30238,19765.88829,54445.19067,18032.35509,620768.4522,27849.03145,,,
2006,E12000007,London,2923.45,58.2,2981.65,50943.3979,26006.73279,76950.13069,17425.78047,446851.0788,25807.9019,,,
2006,E12000008,South East,3008.464,56.033,3064.497,55120.7452,23669.05891,78789.8041,18321.88957,422412.8443,25710.51762,,,
